,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
55,simpul,resesi,dampak,signifikan,kembang,ekonomi,indonesia,lambat,ekonomi,pulih,normal,indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,geodesy,mean,time,good,evening,bestie,ninu,ninu,resesi,ekonomi,coming,soon,aja,yaa,disiapin,anak,kos,takut,banget,ga,sih,kalo,minum,air,saking,hemat,dapet,apaa,tenang,bestie,gausah,takut,,,,,,,,
57,bos,bca,ekonomi,prediksi,gelap,resesi,global,jokowi,manipulatif,cebong,wirda,adekmu,open,po,minions,perfect,strangers,argentina,ronaldo,,,,,,,,,,,,,,,,,,,,,
58,rupiah,sentuh,rp,dolar,jumat,economic,law,studies,celios,bhima,yudhistira,dapat,tren,lemah,rupiah,ancam,resesi,ekonomi,global,salah,sebab,,,,,,,,,,,,,,,,,,,
59,inget,ngotot,bilang,kiamat,ampe,bikin,film,wkwk,mana,ya,skrg,org,nya,skrg,ngotot,bilang,resesi,ekonomi,org,ekonomi,ampe,gamampu,beli,beras,wkwk,tar,liat,aja,taun,tp,org,gin,sih,slow,aja,blg,sy,cm,ingetin,lol
60,resesi,ekonomi,abis,lulus,trus,fresh,graduate,sulit,cari,lapang,kerja,kenal,orang,ga,bantu,gua,serah,tuhan,krn,gua,ngetwit,udah,anugrah,,,,,,,,,,,,,,,,,
61,saksi,edisi,waspada,resesi,ekonomi,intai,kesiap,indonesia,live,streaming,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,bahas,resesi,ekonomi,buruk,yg,bilang,susah,ok,ok,si,bagus,kerja,ekonomi,ngga,langsung,gitu,aja,yg,alami,turun,yg,tingkat,,,,,,,,,,,,,,,,,,
63,waspada,resesi,ekonomi,intai,kesiap,indonesia,saksi,rabu,oktober,wib,live,streaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,indonesia,proyeksi,tumbuh,ekonomi,persen,bilang,superior,indonesia,bebas,resesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,waspada,resesi,ekonomi,intai,kesiap,indonesia,ikut,edisi,rabu,oktober,wib,live,streaming,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,kabar,resesi,kata,omong,influencer,yg,gatau,fakta,sy,ngeh,resesi,yg,wajar,ekonomi,kapitalisme,krisis,siklus,liat,aja,great,depression,krisis,moneter,dll,,,,,,,,,,,,,,,,
67,disclaimer,gua,super,expert,ekonomi,makro,mikro,gitu,haha,gua,uda,denger,influencer,uang,konten,resesi,bagus,gua,edukasi,sih,info,kasih,,,,,,,,,,,,,,,,,,
68,raja,ya,nonton,tv,doang,ndengerin,radio,tok,eks,dunia,broadcasting,paling,live,tiktok,lapak,ye,kalik,ya,hidup,hidup,juang,juang,hindar,jurang,potensi,resesi,ekonomi,cuy,,,,,,,,,,,,
69,bau,resesi,ga,buruk,yg,gembor,deh,recession,paradox,mana,fear,q,bottoming,normal,tumbuh,ekonomi,tingkat,pesat,kecuali,ww,beneran,fix,krisis,,,,,,,,,,,,,,,,,
70,bangsat,emang,kalo,resesi,yaudah,gak,cepat,nyuruh,orang,tuker,rupiah,dollar,menkeu,bagus,bank,indonesia,harga,inovasi,ekonomi,calm,,,,,,,,,,,,,,,,,,,,
71,cuih,gak,gelap,pandemi,gelap,gelap,resesi,least,aktivitas,giat,ekonomi,jalan,campaign,mark,words,fine,,,,,,,,,,,,,,,,,,,,,,,,
72,sambut,pintar,kelola,uang,hadap,resesi,hadir,tengah,ekonomi,dia,pas,banget,sinar,mas,adain,webinar,tema,economic,outlook,tumbuh,ekonomi,inflasi,global,miss,pasang,alarm,,,,,,,,,,,,,,
73,wow,resesi,dunia,pengaruh,market,lho,instrumen,investasi,yaa,situasi,ekonomi,global,penuh,tekan,,,,,,,,,,,,,,,,,,,,,,,,,,
74,bittersweet,gaksih,wowkwk,sweet,neng,kesini,bitter,nya,mecimprut,closing,taun,konser,resesi,ya,ekonomi,dunia,real,choi,seungcheol,kaya,kita,,,,,,,,,,,,,,,,,,,
